proc,theta,phi,overlap,fid_inst_min,gap_min,fid_final
rt,0.0,0.0,1.0,0.9784,0.8078,0.998
rt,0.3,-0.582,0.9379,0.8658,0.8074,0.9326
rt,-0.3,-0.5723,0.927,0.8656,0.8074,0.9325
rt,0.6,0.0693,0.9817,0.979,0.8061,0.9903
rt,-0.6,0.0818,0.9908,0.979,0.8061,0.99
rt,0.9,1.9318,0.9718,0.974,0.8044,0.9869
rt,-0.9,1.9512,0.9892,0.9736,0.8044,0.9867
ex,0.0,0.0,1.0,0.9498,0.8078,0.9765
ex,0.3,1.5429,0.9462,0.9107,0.8074,0.9819
ex,-0.3,2.1353,0.9457,0.9107,0.8074,0.9808
ex,0.6,2.1494,0.9807,0.979,0.8061,0.9917
ex,-0.6,-2.9456,0.9792,0.9791,0.8061,0.9912
ex,0.9,-0.5993,0.9861,0.9596,0.8044,0.9773
ex,-0.9,1.1868,0.9863,0.9629,0.8044,0.9791
