process,theta,profile,eta,Trec,nseg,left_capture,right_admixture,logical_capture,leakage,left_phase
roundtrip,0.3,linear,0.0,1200.0,2400,0.9988021702735046,5.694182493534378e-10,0.9988021708429229,0.0011978291570771127,-1.9777449277040131
roundtrip,0.3,overlap,0.35,4800.0,9600,0.9986991061691652,7.140226885264793e-10,0.998699106883188,0.0013008931168120297,-1.852436840814216
roundtrip,0.3,overlap,0.45,2400.0,4800,0.9985991928564322,4.775301742745159e-10,0.9985991933339623,0.0014008066660377017,2.4007188749886996
roundtrip,0.3,linear,0.0,4800.0,9600,0.9985298266496214,3.521220768196794e-10,0.9985298270017435,0.0014701729982564693,1.8024869575064564
roundtrip,0.3,overlap,0.2,1200.0,2400,0.9984974617410259,2.851240289160666e-11,0.9984974617695384,0.0015025382304616475,-1.9028872892508888
roundtrip,0.3,overlap,0.35,1200.0,2400,0.9984662804411972,1.47754609826176e-10,0.9984662805889518,0.0015337194110481844,1.8207784211150124
roundtrip,0.3,sin2,0.0,4800.0,9600,0.998436772880948,2.68418024824076e-10,0.9984367731493661,0.0015632268506339253,-1.7509899315518287
roundtrip,0.3,overlap,0.2,2400.0,4800,0.9983989548091575,1.0635581240618965e-10,0.9983989549155133,0.001601045084486663,-2.662145213287876
roundtrip,0.3,sin2,0.0,2400.0,4800,0.9983794541163494,2.838982170321738e-10,0.9983794544002477,0.0016205455997523321,-1.4473808219992848
roundtrip,0.3,sin2,0.0,1200.0,2400,0.998355326942201,6.591061707710225e-11,0.9983553270081116,0.0016446729918884184,1.8460424019089925
roundtrip,0.3,overlap,0.2,4800.0,9600,0.9983006420302049,4.919375599879569e-10,0.9983006425221425,0.0016993574778575438,2.102045045563795
roundtrip,0.3,linear,0.0,2400.0,4800,0.9982399562121127,1.5688273791577828e-10,0.9982399563689954,0.0017600436310045708,-2.812215110645248
roundtrip,0.3,overlap,0.35,2400.0,4800,0.9982265369837755,6.308859573602797e-10,0.9982265376146615,0.0017734623853384868,-1.4981809174382528
roundtrip,0.3,overlap,0.45,1200.0,2400,0.998202086831355,1.1854260389717363e-10,0.9982020869498976,0.001797913050102351,0.6286522470781996
roundtrip,0.3,overlap,0.45,4800.0,9600,0.998084181807283,7.459297250865728e-10,0.9980841825532127,0.0019158174467872602,-0.33852294710932834
