label,R,A,W,T,dt,sigma_min,sigma_max,leak_worst,unitarity_frob_max,odd_phase,odd_slope,odd_offdiag_norm,favg_target
A23,4.0,2.3,1.0,20000.0,0.25,0.9999586955347427,0.9999664073950679,8.260722445574409e-05,0.0001138568199913427,-0.287763788752707,-0.95921262917569,5.722811806603996e-07,0.9999750461669626
A23_T30,4.0,2.3,1.0,30000.0,0.25,0.9999547695811192,0.9999614380051529,9.045879197089324e-05,0.0001210826718451134,-0.2877565865444332,-0.9591886218147774,2.6547827159120665e-07,0.9999750167832225
A29,4.0,2.9,1.0,20000.0,0.25,0.9998651349284325,0.99996697405133,0.0002697119545473914,0.0002806752841536056,-0.3484390935282843,-1.161463645094281,9.457685639551938e-07,0.9996090188264498
A29_T30,4.0,2.9,1.0,30000.0,0.25,0.9999533624354459,0.999967877340913,9.327295404581992e-05,0.00012784177474384605,-0.3484764992463414,-1.161588330821138,9.248236101163572e-07,0.9996084148633383
R3,3.0,2.6,1.0,20000.0,0.25,0.9999618928014433,0.9999663230243382,7.621294495474551e-05,0.00010365857253336078,-0.29752539592576277,-0.9917513197525426,6.748181026931545e-07,0.9999989793894818
R5,5.0,2.6,1.0,20000.0,0.25,0.9999538863931713,0.9999694491964269,9.222508719264333e-05,0.00011794253673803011,-0.2929408225166704,-0.9764694083889014,6.09293858363861e-07,0.999991694703242
W08,4.0,2.6,0.8,20000.0,0.25,0.9999548226393958,0.9999724356965795,9.035268021440057e-05,0.00012256721412805564,-0.2915607911818169,-0.9718693039393896,5.628708168754781e-07,0.9999881300294303
W08_T30,4.0,2.6,0.8,30000.0,0.25,0.9999624507153184,0.9999732014827479,7.509715941433903e-05,0.00010133645672763829,-0.2915508260234545,-0.9718360867448483,2.644376516224291e-06,0.9999881019783037
W12,4.0,2.6,1.2,20000.0,0.25,0.9999451831139211,0.9999707788856356,0.00010963076726677734,0.00012423485592418881,-0.313714719676023,-1.04571573225341,3.067321786397084e-07,0.999968651568711
W12_T30,4.0,2.6,1.2,30000.0,0.25,0.9999564529515743,0.9999710527516852,8.709220050595601e-05,0.00011876901731320629,-0.3135173070761874,-1.0450576902539581,1.6712165764699156e-06,0.9999695475309917
