label,sigma,seed,sigma_min,leak_worst,unitarity_frob_max,odd_phase,odd_slope,odd_offdiag_norm,favg_target
s001_n0,0.01,0,0.9999485798654935,0.00010283762498286553,0.00013622373513951715,-0.2920725308419776,-0.973575102806592,7.72546254452286e-07,0.9999895259267793
s001_n1,0.01,1,0.9999483922289566,0.00010321287872472329,0.00013191631122057583,-0.2920558629189094,-0.9735195430630313,1.6397702358536551e-06,0.999989481835426
s003_n0,0.03,0,0.9999459986495439,0.00010799978476627725,0.00012605525094031348,-0.2921084466427044,-0.973694822142348,1.614441017027625e-06,0.9999896206172654
s003_n1,0.03,1,0.9999474198063361,0.00010515762265106421,0.00012981784969251362,-0.29203547237283356,-0.9734515745761119,6.832768797876676e-07,0.9999894277723435
s005_n0,0.05,0,0.9999455347273846,0.00010892757876490577,0.00014632804460072832,-0.2921397213245948,-0.9737990710819827,1.0741811400990482e-06,0.9999897027224902
s005_n1,0.05,1,0.999947534481636,0.0001049282840974719,0.00013472798148376114,-0.2920298957583627,-0.973432985861209,5.629666354074502e-07,0.9999894129623336
s010_n0,0.1,0,0.9999430668952121,0.00011386296819748676,0.00013989476202914988,-0.29222626760616455,-0.9740875586872152,4.013001832019094e-07,0.9999899282314448
s010_n1,0.1,1,0.9999548650829273,9.026779698462217e-05,0.00011531785135510815,-0.2919837991411448,-0.9732793304704828,1.270735997810034e-06,0.9999892901441113
s020_n0,0.2,0,0.9999421509555863,0.00011569474231554189,0.00015838822594793362,-0.2923979170114997,-0.9746597233716657,2.427600694150834e-07,0.9999903681020733
s020_n1,0.2,1,0.9999530704146559,9.385696830233048e-05,0.00010908495879408468,-0.2918912783546038,-0.9729709278486794,9.464461276269172e-07,0.9999890414986258
