R,T,depth,dt,favg_target,kind,label,leak_worst,odd_offdiag_norm,odd_phase,odd_slope,seed,sigma,sigma_max,sigma_min,unitarity_frob_max
4,20000.0,3.5,0.25,0.9999794698126986,digital,D35_seq,6.684546430335558e-05,6.780122653399399e-07,-0.28890124388157656,-0.9630041462719219,,,0.9999756789147369,0.9999665767092901,8.647558220765646e-05
4,20000.0,4.0,0.25,0.9999894749397912,digital,D40_seq,0.00010640499789060787,7.17618030605414e-07,-0.2920532589978691,-0.9735108633262304,,,0.9999658517216738,0.9999467960857265,0.00012735332452547236
4,20000.0,4.5,0.25,0.9999941398732707,digital,D45_seq,0.0002066776912035273,3.7784936280059576e-08,-0.29407034036413965,-0.9802344678804655,,,0.9999608966218548,0.9998966558143879,0.0002284720619339443
4,20000.0,5.0,0.25,0.9999965268624581,digital,D50_seq,0.00046518755368130105,1.0860180448721033e-07,-0.2954350398233938,-0.9847834660779794,,,0.99994128346082,0.9997673791669334,0.0004892368801546667
4,20000.0,6.0,0.25,0.9999986164831433,digital,D60_seq,0.001959846344055105,6.752271121057444e-08,-0.29711883584751037,-0.9903961194917013,,,0.9999020711883171,0.9990195962321985,0.0019720120455526805
4,30000.0,6.0,0.25,0.9999985769773071,digital,D60_seq_T30,0.00023226272323606523,8.366699891563645e-09,-0.2970779900355561,-0.9902599667851871,,,0.999922294890262,0.9998838618943522,0.00028965437613803004
4,30000.0,6.0,0.125,0.9999981871408196,digital,D60_seq_T30_dt0125,6.10599361853259e-05,7.96822867845897e-09,-0.2967019452789835,-0.9890064842632784,,,0.9999952693676747,0.9999694695658536,6.211261501344316e-05
4,20000.0,6.0,0.125,0.9999981951553446,digital,D60_seq_dt0125,0.001695428465884663,3.079220607300442e-09,-0.2967092435968928,-0.9890308119896428,,,0.9999954814089596,0.9991519261524322,0.0016954549267000263
3,20000.0,4.0,0.25,0.9999897119232992,digital,R3_seq,0.00012522859569175093,1.1480306755377012e-06,-0.29214323380096596,-0.9738107793365532,,,0.9999626764059185,0.9999373837417562,0.00014578818850322152
5,20000.0,4.0,0.25,0.9999894319722893,digital,R5_seq,0.0001005929454916954,4.121639707747138e-07,-0.2920370545037087,-0.9734568483456957,,,0.9999679080939986,0.9999497022623229,0.00013041922797504306
,,4.0,,0.9999895259267793,disorder,s001_n0,0.00010283762498286553,7.72546254452286e-07,-0.2920725308419776,-0.973575102806592,0,0.01,,0.9999485798654935,0.00013622373513951715
,,4.0,,0.999989481835426,disorder,s001_n1,0.00010321287872472329,1.6397702358536551e-06,-0.2920558629189094,-0.9735195430630313,1,0.01,,0.9999483922289566,0.00013191631122057583
,,4.0,,0.9999896206172654,disorder,s003_n0,0.00010799978476627725,1.614441017027625e-06,-0.2921084466427044,-0.973694822142348,0,0.03,,0.9999459986495439,0.00012605525094031348
,,4.0,,0.9999894277723435,disorder,s003_n1,0.00010515762265106421,6.832768797876676e-07,-0.29203547237283356,-0.9734515745761119,1,0.03,,0.9999474198063361,0.00012981784969251362
,,4.0,,0.9999897027224902,disorder,s005_n0,0.00010892757876490577,1.0741811400990482e-06,-0.2921397213245948,-0.9737990710819827,0,0.05,,0.9999455347273846,0.00014632804460072832
,,4.0,,0.9999894129623336,disorder,s005_n1,0.0001049282840974719,5.629666354074502e-07,-0.2920298957583627,-0.973432985861209,1,0.05,,0.999947534481636,0.00013472798148376114
,,4.0,,0.9999899282314448,disorder,s010_n0,0.00011386296819748676,4.013001832019094e-07,-0.29222626760616455,-0.9740875586872152,0,0.1,,0.9999430668952121,0.00013989476202914988
,,4.0,,0.9999892901441113,disorder,s010_n1,9.026779698462217e-05,1.270735997810034e-06,-0.2919837991411448,-0.9732793304704828,1,0.1,,0.9999548650829273,0.00011531785135510815
,,4.0,,0.9999903681020733,disorder,s020_n0,0.00011569474231554189,2.427600694150834e-07,-0.2923979170114997,-0.9746597233716657,0,0.2,,0.9999421509555863,0.00015838822594793362
,,4.0,,0.9999890414986258,disorder,s020_n1,9.385696830233048e-05,9.464461276269172e-07,-0.2918912783546038,-0.9729709278486794,1,0.2,,0.9999530704146559,0.00010908495879408468
,,4.0,,0.9999914591595497,disorder,s050_n0,0.0001537213637488044,8.883128892551462e-08,-0.29284142042550965,-0.9761380680850322,0,0.5,,0.9999231363641163,0.00017688202180234352
